ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
8,5.8,3.5,1.9,0.4,0.542,0.456,0.231,0.542,0.231
3,5,2.1,0.8,0.4,0.793,0.352,0.302,0.793,0.302
9,21.6,10.1,1.5,1.6,0.8,0.583,0.401,0.8,0.401
13,8.1,8.2,0.7,1.5,0.875,0.393,0.222,0.875,0.222
6,4.3,3.5,0.9,0.3,0.569,0.518,0.135,0.569,0.135
10,6.1,2.1,1.5,0.1,0.933,0.4,0.299,0.933,0.299
12,3.3,2.3,0.7,0.2,0.474,0.373,0.351,0.474,0.351
5,12.2,4.1,3.8,0.5,0.828,0.413,0.38,0.828,0.38
1,12.3,4.5,1.8,0.3,0.764,0.41,0.355,0.764,0.355
7,5.6,3.7,0.6,0.7,0.738,0.68,0.222,0.738,0.222
425,8.7,5.8,1.1,0.8,0.63,0.546,0.25,0.63,0.25
428,15,6,1.8,0.5,0.736,0.504,0.27,0.736,0.27
4,10.5,3.7,1.5,0.5,0.802,0.384,0.332,0.802,0.332
11,7.7,2.2,4,0.2,0.887,0.412,0.333,0.887,0.333
297,3.3,2,2,0.4,0.857,0.373,0,0.857,0
2,29.6,4.3,9.3,0.1,0.86,0.437,0.361,0.86,0.361
25,20.4,6.4,2.2,0.3,0.736,0.49,0.381,0.736,0.381
28,3,1.2,0.6,0.1,0.846,0.327,0.309,0.846,0.309
27,2.9,1.8,0.5,0.2,0.639,0.5,0.261,0.639,0.261
26,17.3,6.5,4.1,0.4,0.847,0.502,0.392,0.847,0.392
23,8.2,7.7,1,0.7,0.708,0.566,0.143,0.708,0.143
29,2.6,1.2,0.2,0.2,0.696,0.375,0.217,0.696,0.217
19,3.1,2,0.5,0.1,0.893,0.409,0.367,0.893,0.367
31,1.9,1.6,0.3,0.3,0.857,0.485,0.5,0.857,0.5
22,13.5,3.8,4.8,0.5,0.835,0.38,0.348,0.835,0.348
20,23.6,7.1,2.9,0.9,0.806,0.448,0.398,0.806,0.398
21,9.3,6.6,1.6,1.3,0.764,0.565,0.321,0.764,0.321
24,21.2,4.1,4.9,0.5,0.867,0.421,0.377,0.867,0.377
17,6.6,2,2.5,0.2,0.931,0.428,0.367,0.931,0.367
18,3.5,2.7,1,0.5,0.725,0.417,0.247,0.725,0.247
30,4.3,4.7,1,1.2,0.56,0.677,,0.56,NULL
36,10.6,9.5,1.3,1.3,0.62,0.646,0,0.62,0
43,5.9,4.1,1.1,0.3,0.87,0.404,0.306,0.87,0.306
47,4.4,2.9,1.1,0.5,0.524,0.563,0.143,0.524,0.143
34,20.6,3.5,6.8,0.3,0.778,0.415,0.308,0.778,0.308
37,13.9,4.3,2.1,0.3,0.747,0.471,0.412,0.747,0.412
46,27.4,5.2,6.4,0.5,0.922,0.478,0.394,0.922,0.394
38,8.3,10,1.9,0.9,0.68,0.666,,0.68,NULL
42,4.2,2.5,0.8,0.1,0.607,0.448,0.385,0.607,0.385
40,17.7,4.1,4.1,0.2,0.72,0.414,0.381,0.72,0.381
41,6.3,2.3,0.6,0.2,0.839,0.406,0.358,0.839,0.358
44,4.2,2,0.9,0,0.75,0.36,0.231,0.75,0.231
45,3.6,1.6,1.7,0.1,0.938,0.29,0.188,0.938,0.188
39,10.3,3.5,2.6,0.5,0.767,0.378,0.324,0.767,0.324
35,12.1,6,1.8,0.4,0.798,0.376,0.339,0.798,0.339
55,4.5,1.9,1.7,0.1,0.711,0.409,0.391,0.711,0.391
58,11.3,9.4,1.2,0.8,0.737,0.534,0.207,0.737,0.207
56,7.3,3.6,3.4,0.3,0.741,0.444,0.259,0.741,0.259
64,3.9,4.6,0.7,0.1,0.783,0.63,0,0.783,0
59,5.1,2.5,0.5,1.3,0.533,0.701,,0.533,NULL
60,4.9,2,1.1,0.4,0.78,0.467,0.381,0.78,0.381
63,7.8,3.9,0.9,0.3,0.59,0.457,0.316,0.59,0.316
62,6,2.3,0.9,0.7,0.714,0.439,0.287,0.714,0.287
54,25.5,4.8,4.2,0.5,0.802,0.45,0.38,0.802,0.38
57,14.7,6.3,1.5,0.5,0.824,0.425,0.344,0.824,0.344
65,11.9,3.4,1.8,0.4,0.704,0.443,0.387,0.704,0.387
52,9.9,3.9,5.4,0.1,0.876,0.43,0.322,0.876,0.322
61,6.8,2.1,1.2,0.2,0.75,0.409,0.336,0.75,0.336
51,13.2,3.5,2.7,0.1,0.791,0.394,0.354,0.791,0.354
53,10.3,4.9,1.8,0.4,0.583,0.448,0.356,0.583,0.356
76,5.7,2.6,1.3,0.1,0.66,0.348,0.284,0.66,0.284
78,3.6,4.5,3,0.4,0.9,0.346,0.286,0.9,0.286
74,7.4,5.8,0.9,0.9,0.603,0.543,,0.603,NULL
68,13,5.6,1.8,0.7,0.809,0.424,0.33,0.809,0.33
81,0.5,0,0.3,0,1,0,0,1,0
69,18.2,3.4,7.5,0.2,0.82,0.382,0.373,0.82,0.373
77,6.1,4.3,0.9,0.2,0.627,0.532,0.227,0.627,0.227
115,4,2.9,0.8,0.3,0.778,0.34,0.294,0.778,0.294
79,6.2,2.1,1.3,0.4,0.81,0.44,0.541,0.81,0.541
75,5,3.3,2,0.2,0.646,0.43,0.234,0.646,0.234
80,5.6,4.1,0.8,0.2,0.824,0.471,0.375,0.824,0.375
73,10.3,2.9,2.1,0.3,0.82,0.434,0.284,0.82,0.284
70,18,4.4,4.1,0.2,0.874,0.423,0.407,0.874,0.407
71,12.2,5.4,2.1,0.8,0.647,0.455,0.374,0.647,0.374
280,6.7,2.7,1,0.5,0.86,0.448,0.376,0.86,0.376
72,11.1,7.1,1.5,0.4,0.682,0.524,0.24,0.682,0.24
471,14.6,2.4,2.4,0.3,0.884,0.442,0.371,0.884,0.371
88,3.1,1.3,3.2,0,0.865,0.354,0.231,0.865,0.231
96,17.5,11.1,1.8,1.4,0.513,0.552,0.286,0.513,0.286
93,5.6,2.3,1.4,0.3,0.732,0.479,0.351,0.732,0.351
86,12.3,1.9,3.9,0.1,0.875,0.401,0.355,0.875,0.355
144,5,3.9,1.5,1.1,0.515,0.508,0.194,0.515,0.194
147,4.9,1.3,1.9,0.1,0.308,0.326,0.297,0.308,0.297
89,17.6,9.8,3.2,0.3,0.854,0.45,0.374,0.854,0.374
92,4.6,2.8,0.4,0.2,0.71,0.427,0.215,0.71,0.215
90,10.1,7.3,2.2,0.4,0.676,0.531,0.352,0.676,0.352
85,11,3.6,2.4,0.2,0.67,0.437,0.383,0.67,0.383
91,10,3.2,2.2,0.3,0.723,0.442,0.335,0.723,0.335
84,20.8,3.1,3,0.1,0.846,0.472,0.38,0.846,0.38
87,12,10.1,2.1,0.9,0.615,0.512,0.391,0.615,0.391
94,4.4,3,0.3,0.2,0.737,0.569,,0.737,NULL
112,7.5,1.8,3.8,0.1,0.944,0.413,0.382,0.944,0.382
107,8.2,2.4,3.3,0.1,0.813,0.466,0.358,0.813,0.358
114,5.2,4.6,0.8,0.8,0.556,0.689,0,0.556,0
105,12.6,2.4,2,0.1,0.841,0.5,0.453,0.841,0.453
108,28.7,9.3,8.7,0.2,0.752,0.461,0.318,0.752,0.318
103,9.3,5.5,1.5,0.6,0.722,0.468,0.374,0.722,0.374
104,15.8,3.1,2,0.1,0.801,0.437,0.407,0.801,0.407
106,5.7,2.4,0.8,0.2,0.818,0.399,0.298,0.818,0.298
115,0.4,2.2,0.3,0.2,1,0.143,0,1,0
101,9.2,5.4,1.2,1.2,0.863,0.459,0.374,0.863,0.374
113,4.5,1.3,0.5,0.3,0.857,0.488,0.447,0.857,0.447
111,6.3,4.1,0.4,0.2,0.766,0.555,0.267,0.766,0.267
109,19.2,9.5,1.7,2.1,0.776,0.42,0.349,0.776,0.349
110,9.4,5.7,1.5,0.6,0.667,0.638,0.256,0.667,0.256
102,7.3,4,3.4,0.3,0.789,0.47,0.385,0.789,0.385
121,15.1,6.3,3.7,0.5,0.767,0.45,0.375,0.767,0.375
131,3.5,1,0,0.5,0.75,1,,0.75,NULL
291,7.9,1.9,1.2,0.1,0.868,0.389,0.36,0.868,0.36
129,1.2,0.7,0.2,0.1,1,0.4,0.167,1,0.167
125,5,3.1,0.7,0.6,0.645,0.462,0.33,0.645,0.33
132,0,0,0,0,,0,0,NULL,0
120,11.6,3.5,1.2,0.8,0.744,0.471,0.4,0.744,0.4
122,10.4,2.9,2.1,0.3,0.815,0.42,0.333,0.815,0.333
